[logging start 2014-05-02 00:51:24,638]
2014-05-02 00:51:27,678 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 00:51:27,688 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 00:51:27,688 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 00:51:27,698 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 00:51:27,698 [9] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 00:51:27,698 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 00:51:27,698 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 00:51:27,698 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 00:51:27,698 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 00:51:27,708 [9] INFO  (Manager) 初期化が完了しました。
