[logging start 2014-05-02 17:43:13,956]
2014-05-02 17:43:17,006 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 17:43:17,019 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 17:43:17,019 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 17:43:17,030 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 17:43:17,031 [10] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 17:43:17,031 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 17:43:17,033 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 17:43:17,033 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 17:43:17,033 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 17:43:17,039 [10] INFO  (Manager) 初期化が完了しました。
