[logging start 2014-05-02 23:26:24,199]
2014-05-02 23:26:27,223 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:26:27,236 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:26:27,236 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:26:27,247 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:26:27,248 [9] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 23:26:27,248 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:26:27,249 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:26:27,250 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:26:27,250 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:26:27,256 [9] INFO  (Manager) 初期化が完了しました。
