[logging start 2014-05-08 22:43:23,694]
2014-05-08 22:43:26,906 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-08 22:43:26,916 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-08 22:43:26,916 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-08 22:43:26,926 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-08 22:43:26,926 [10] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-08 22:43:26,926 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-08 22:43:26,936 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-08 22:43:26,936 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-08 22:43:26,936 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-08 22:43:26,936 [10] INFO  (Manager) 初期化が完了しました。
