[logging start 2014-05-02 00:53:11,697]
2014-05-02 00:53:15,907 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 00:53:15,927 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 00:53:15,927 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 00:53:15,947 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 00:53:15,947 [10] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 00:53:15,947 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 00:53:15,947 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 00:53:15,947 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 00:53:15,947 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 00:53:15,957 [10] INFO  (Manager) 初期化が完了しました。
[logging end 2014-05-02 00:53:11,707]
