[logging start 2014-08-07 14:20:45,225]
2014-08-07 14:20:48,199 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 14:20:48,214 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 14:20:48,214 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 14:20:48,227 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 14:20:48,228 [10] INFO  (Manager) コンポーネントExamples.KKdrawComponentをロードしました
2014-08-07 14:20:48,229 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 14:20:48,230 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 14:20:48,230 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 14:20:48,230 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 14:20:48,236 [10] INFO  (Manager) 初期化が完了しました。
