[logging start 2014-08-11 14:21:22,878]
2014-08-11 14:21:23,229 [1] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-11 14:21:23,235 [1] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-11 14:21:23,235 [1] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-11 14:21:23,240 [1] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-11 14:21:23,240 [1] INFO  (Manager) コンポーネントExamples.KKdrawComponentをロードしました
2014-08-11 14:21:23,240 [1] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-11 14:21:23,241 [1] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-11 14:21:23,241 [1] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-11 14:21:23,241 [1] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-11 14:21:23,243 [1] INFO  (Manager) 初期化が完了しました。
[logging end 2014-08-11 14:21:22,879]
