[logging start 2014-05-02 23:39:30,084]
2014-05-02 23:39:33,204 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:39:33,217 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:39:33,217 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:39:33,228 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:39:33,229 [10] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 23:39:33,229 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:39:33,230 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:39:33,230 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:39:33,230 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:39:33,237 [10] INFO  (Manager) 初期化が完了しました。
