[logging start 2014-05-02 00:41:02,457]
2014-05-02 00:41:05,537 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 00:41:05,547 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 00:41:05,547 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 00:41:05,557 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 00:41:05,557 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 00:41:05,557 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 00:41:05,557 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 00:41:05,557 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 00:41:05,567 [9] INFO  (Manager) 初期化が完了しました。
2014-05-02 00:41:05,567 [9] ERROR (Manager) コンポーネントの生成に失敗しました。
[logging start 2014-05-02 00:59:48,955]
2014-05-02 00:59:51,945 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 00:59:51,955 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 00:59:51,955 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 00:59:51,965 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 00:59:51,965 [9] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 00:59:51,965 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 00:59:51,965 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 00:59:51,965 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 00:59:51,965 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 00:59:51,975 [9] INFO  (Manager) 初期化が完了しました。
