[logging start 2014-08-07 12:32:44,543]
2014-08-07 12:32:48,273 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 12:32:48,277 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 12:32:48,277 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 12:32:48,297 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 12:32:48,297 [10] INFO  (Manager) コンポーネントExamples.KKdrawComponentをロードしました
2014-08-07 12:32:48,297 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 12:32:48,297 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 12:32:48,297 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 12:32:48,297 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 12:32:48,297 [10] INFO  (Manager) 初期化が完了しました。
