[logging start 2014-08-06 16:00:42,076]
2014-08-06 16:00:44,656 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-06 16:00:44,676 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-06 16:00:44,676 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-06 16:00:44,686 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-06 16:00:44,686 [9] INFO  (Manager) コンポーネントExamples.KKdrawComponentをロードしました
2014-08-06 16:00:44,686 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-06 16:00:44,686 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-06 16:00:44,686 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-06 16:00:44,686 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-06 16:00:44,696 [9] INFO  (Manager) 初期化が完了しました。
