[logging start 2014-05-02 00:50:17,110]
2014-05-02 00:50:20,252 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 00:50:20,262 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 00:50:20,262 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 00:50:20,272 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 00:50:20,272 [10] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 00:50:20,272 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 00:50:20,272 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 00:50:20,272 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 00:50:20,272 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 00:50:20,282 [10] INFO  (Manager) 初期化が完了しました。
