[logging start 2014-05-02 23:27:13,404]
2014-05-02 23:27:16,663 [8] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:27:16,676 [8] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:27:16,677 [8] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:27:16,688 [8] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:27:16,689 [8] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 23:27:16,689 [8] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:27:16,690 [8] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:27:16,690 [8] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:27:16,691 [8] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:27:16,697 [8] INFO  (Manager) 初期化が完了しました。
