[logging start 2014-05-02 23:36:03,203]
2014-05-02 23:36:06,383 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:36:06,403 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:36:06,403 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:36:06,413 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:36:06,413 [10] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 23:36:06,413 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:36:06,413 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:36:06,413 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:36:06,413 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:36:06,423 [10] INFO  (Manager) 初期化が完了しました。
