[logging start 2014-05-05 01:33:11,700]
2014-05-05 01:33:14,775 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-05 01:33:14,789 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-05 01:33:14,789 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-05 01:33:14,800 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-05 01:33:14,801 [9] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-05 01:33:14,801 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-05 01:33:14,803 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-05 01:33:14,803 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-05 01:33:14,803 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-05 01:33:14,809 [9] INFO  (Manager) 初期化が完了しました。
