[logging start 2014-08-07 15:07:21,675]
2014-08-07 15:07:24,524 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 15:07:24,545 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 15:07:24,545 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 15:07:24,557 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 15:07:24,558 [9] INFO  (Manager) コンポーネントExamples.KKdrawComponentをロードしました
2014-08-07 15:07:24,558 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 15:07:24,560 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 15:07:24,560 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 15:07:24,560 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 15:07:24,566 [9] INFO  (Manager) 初期化が完了しました。
[logging end 2014-08-07 15:07:21,677]
