[logging start 2014-05-02 23:48:50,589]
2014-05-02 23:48:53,706 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:48:53,720 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:48:53,720 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:48:53,731 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:48:53,732 [10] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 23:48:53,732 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:48:53,734 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:48:53,734 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:48:53,734 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:48:53,740 [10] INFO  (Manager) 初期化が完了しました。
