[logging start 2014-05-02 23:46:09,350]
2014-05-02 23:46:12,573 [11] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:46:12,586 [11] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:46:12,586 [11] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:46:12,597 [11] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:46:12,598 [11] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 23:46:12,599 [11] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 23:46:12,600 [11] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 23:46:12,600 [11] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 23:46:12,600 [11] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 23:46:12,606 [11] INFO  (Manager) 初期化が完了しました。
