[logging start 2014-08-08 12:39:36,955]
2014-08-08 12:39:39,777 [11] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-08 12:39:39,790 [11] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-08 12:39:39,790 [11] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-08 12:39:39,802 [11] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-08 12:39:39,802 [11] INFO  (Manager) コンポーネントExamples.KKdrawComponentをロードしました
2014-08-08 12:39:39,803 [11] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-08 12:39:39,804 [11] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-08 12:39:39,804 [11] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-08 12:39:39,804 [11] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-08 12:39:39,810 [11] INFO  (Manager) 初期化が完了しました。
