[logging start 2014-08-08 11:23:47,289]
2014-08-08 11:23:49,909 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-08 11:23:49,919 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-08 11:23:49,919 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-08 11:23:49,929 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-08 11:23:49,929 [10] INFO  (Manager) コンポーネントExamples.KKdrawComponentをロードしました
2014-08-08 11:23:49,929 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-08 11:23:49,929 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-08 11:23:49,929 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-08 11:23:49,929 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-08 11:23:49,939 [10] INFO  (Manager) 初期化が完了しました。
