[logging start 2014-05-02 19:57:26,761]
2014-05-02 19:57:29,781 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 19:57:29,791 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 19:57:29,791 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 19:57:29,801 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 19:57:29,801 [9] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-02 19:57:29,801 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-02 19:57:29,811 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-02 19:57:29,811 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-02 19:57:29,811 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-02 19:57:29,811 [9] INFO  (Manager) 初期化が完了しました。
