[logging start 2014-05-03 14:22:19,287]
2014-05-03 14:22:20,137 [1] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-03 14:22:20,147 [1] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-03 14:22:20,147 [1] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-03 14:22:20,157 [1] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-03 14:22:20,157 [1] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-03 14:22:20,157 [1] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-03 14:22:20,157 [1] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-03 14:22:20,157 [1] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-03 14:22:20,157 [1] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-03 14:22:20,167 [1] INFO  (Manager) 初期化が完了しました。
[logging end 2014-05-03 14:22:19,297]
