[logging start 2014-08-07 12:17:01,950]
2014-08-07 12:17:06,460 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 12:17:06,470 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 12:17:06,470 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 12:17:06,480 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 12:17:06,480 [10] INFO  (Manager) コンポーネントExamples.KKdrawComponentをロードしました
2014-08-07 12:17:06,480 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 12:17:06,490 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 12:17:06,490 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 12:17:06,490 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 12:17:06,490 [10] INFO  (Manager) 初期化が完了しました。
