[logging start 2014-08-07 14:02:46,265]
2014-08-07 14:02:49,043 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 14:02:49,055 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 14:02:49,055 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 14:02:49,067 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 14:02:49,067 [9] INFO  (Manager) コンポーネントExamples.KKdrawComponentをロードしました
2014-08-07 14:02:49,068 [9] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 14:02:49,069 [9] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 14:02:49,069 [9] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 14:02:49,069 [9] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 14:02:49,076 [9] INFO  (Manager) 初期化が完了しました。
2014-08-07 14:05:15,359 [16] ERROR (IConfigurationAdapter) 指定されたキーはディレクトリ内に存在しませんでした。
