[logging start 2014-05-08 22:44:36,192]
2014-05-08 22:44:39,277 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-08 22:44:39,290 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-08 22:44:39,290 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-08 22:44:39,301 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-08 22:44:39,302 [10] INFO  (Manager) コンポーネントExamples.LRFViewerComponentをロードしました
2014-05-08 22:44:39,302 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-05-08 22:44:39,304 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-05-08 22:44:39,304 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-05-08 22:44:39,304 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-05-08 22:44:39,310 [10] INFO  (Manager) 初期化が完了しました。
