[logging start 2014-08-07 15:35:20,589]
2014-08-07 15:35:23,258 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 15:35:23,268 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 15:35:23,268 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 15:35:23,278 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 15:35:23,278 [10] INFO  (Manager) コンポーネントExamples.KKdrawComponentをロードしました
2014-08-07 15:35:23,278 [10] INFO  (Manager) 実行コンテキストEmptyExecutionContextをロードしました
2014-08-07 15:35:23,278 [10] INFO  (Manager) 実行コンテキストExtTrigExecutionContextをロードしました
2014-08-07 15:35:23,278 [10] INFO  (Manager) 実行コンテキストPeriodicExecutionContextをロードしました
2014-08-07 15:35:23,278 [10] INFO  (Manager) コンポーネントcomposite.PeriodicECShared.PeriodicECSharedCompositeをロードしました
2014-08-07 15:35:23,288 [10] INFO  (Manager) 初期化が完了しました。
[logging end 2014-08-07 15:35:20,591]
